"time","timeDate","close","high","low","open","volumefrom","volumeto"
1518926700000,"2018-02-17",10898.97,10933.9,10890.79,10893.68,620.2,6807893.28
1518927000000,"2018-02-17",10881.93,10936,10875.39,10898.15,544.93,5964710.09
1518927300000,"2018-02-17",10866.92,10883.98,10853.21,10882.29,414.44,4529449.4
1518927600000,"2018-02-17",10891.1,10913.53,10862.06,10866.21,453.45,4947240.52
1518927900000,"2018-02-17",10909.25,10925.34,10886.09,10891.1,277.62,3052642.01
1518928200000,"2018-02-17",10873.13,10911.49,10873.11,10909.26,332.58,3638817.08
1518928500000,"2018-02-17",10887.79,10902.36,10863.62,10873.6,528.47,5815122.1
1518928800000,"2018-02-17",10898.05,10901.94,10872.84,10886.5,463.44,5067366.16
1518929100000,"2018-02-17",10940.64,10946.03,10894.04,10898.05,436.45,4771678.15
1518929400000,"2018-02-17",10951.04,10956.1,10939.62,10940.64,291.39,3204534.61
1518929700000,"2018-02-17",10943.39,10977.72,10937.95,10951.97,563.29,6187245.04
1518930000000,"2018-02-17",10923.44,10950.63,10912.71,10943.89,363.38,3994566.91
1518930300000,"2018-02-17",10940.89,10953.76,10914.66,10920.8,230.44,2529295.54
1518930600000,"2018-02-17",10680.16,10939.39,10664.74,10939.24,3091.09,33264213.07
1518930900000,"2018-02-17",10741.34,10748.27,10678.78,10680.16,1301.15,14007370.68
1518931200000,"2018-02-17",10686.87,10767.87,10686.43,10741.34,1164.06,12528864.17
1518931500000,"2018-02-17",10613.64,10687.26,10563.04,10686.47,2106.24,22357087.25
1518931800000,"2018-02-17",10555.22,10636.26,10547.55,10613.75,1076.12,11420111.6
1518932100000,"2018-02-17",10607.19,10616.55,10550.68,10550.68,787.39,8369948.45
1518932400000,"2018-02-17",10606.57,10610.82,10569.4,10607.22,706.22,7527780.74
1518932700000,"2018-02-17",10634.67,10669.76,10605.06,10606.5,591.05,6329493.12
1518933000000,"2018-02-17",10538.91,10636.52,10538.89,10636.15,1049.1,11122359.24
1518933300000,"2018-02-17",10471.72,10541.23,10471.41,10540.11,1475.96,15621945.14
1518933600000,"2018-02-18",10518.28,10518.71,10462.81,10472.87,1082.25,11410243.15
1518933900000,"2018-02-18",10535.64,10550.88,10518.04,10518.28,606.62,6425025.29
1518934200000,"2018-02-18",10618.38,10628.29,10530.74,10530.74,743.52,7881441.86
1518934500000,"2018-02-18",10597.21,10621.36,10569.06,10618.38,498.26,5308900.28
1518934800000,"2018-02-18",10645.13,10669.25,10587.27,10595.5,610.52,6509538.26
1518935100000,"2018-02-18",10667.44,10668.73,10623.41,10645.13,407.17,4349715.52
1518935400000,"2018-02-18",10577.09,10673.02,10572.77,10667.44,655.37,6986195.03
1518935700000,"2018-02-18",10590.47,10614.55,10565.99,10577.09,609.45,6473789.78
1518936000000,"2018-02-18",10606.29,10611.16,10587.52,10588.88,222.19,2366829.93
1518936300000,"2018-02-18",10535.73,10606.29,10525.36,10606.29,610.25,6451759.93
1518936600000,"2018-02-18",10445.32,10536.5,10444.59,10536.5,1063.11,11173671.32
1518936900000,"2018-02-18",10458.35,10467.96,10413.8,10446.49,1124.85,11770777.46
1518937200000,"2018-02-18",10526.6,10548.3,10452.9,10458.5,1249.44,13162790.6
1518937500000,"2018-02-18",10503.94,10546.3,10498.4,10526.6,555.09,5854106.73
1518937800000,"2018-02-18",10563.95,10583.34,10495.17,10503.3,743.29,7854630.77
1518938100000,"2018-02-18",10560.26,10593.66,10555.26,10564.29,379.88,4031428.72
1518938400000,"2018-02-18",10555.89,10565.31,10532.21,10561.09,320.29,3387879.38
1518938700000,"2018-02-18",10539.19,10558.21,10533.26,10555.89,301.88,3201425.58
1518939000000,"2018-02-18",10503.96,10541.55,10484.85,10539.03,457.1,4811586.07
1518939300000,"2018-02-18",10568.16,10569.52,10502.58,10503.96,378.17,4008854.76
1518939600000,"2018-02-18",10568.01,10571.33,10534.66,10566.6,367.44,3891321
1518939900000,"2018-02-18",10653.2,10653.83,10565.71,10568.01,686.69,7315429.08
1518940200000,"2018-02-18",10636.08,10657.4,10624.38,10653.81,428.22,4581484.33
1518940500000,"2018-02-18",10617.87,10638.05,10617.87,10636.08,230.42,2462266.64
1518940800000,"2018-02-18",10624.57,10632.35,10606.76,10617.91,254.93,2727840.28
1518941100000,"2018-02-18",10568.42,10627.58,10564.39,10624.57,428.63,4551701.07
1518941400000,"2018-02-18",10576.89,10577.24,10538.75,10568.42,379.96,4014716.31
1518941700000,"2018-02-18",10582.39,10584.59,10548.8,10574.95,258.63,2744987.06
1518942000000,"2018-02-18",10580.66,10591.71,10576.65,10581.27,134.04,1429051.03
